iter	Passed	Remaining
0	5	2864
1	9	2481
2	14	2321
3	18	2266
4	22	2260
5	27	2228
6	31	2199
7	35	2209
8	41	2273
9	46	2262
10	50	2251
11	56	2280
12	60	2278
13	65	2264
14	70	2266
15	74	2262
16	79	2250
17	83	2240
18	89	2273
19	95	2287
20	99	2274
21	105	2285
22	109	2274
23	114	2261
24	118	2258
25	123	2249
26	127	2237
27	132	2236
28	137	2233
29	142	2226
30	146	2218
31	151	2220
32	156	2213
33	161	2212
34	166	2215
35	171	2210
36	176	2205
37	181	2208
38	186	2205
39	191	2200
40	196	2198
41	201	2200
42	206	2194
43	211	2188
44	216	2189
45	221	2185
46	226	2180
47	232	2184
48	236	2179
49	241	2173
50	246	2169
51	251	2167
52	256	2160
53	260	2154
54	266	2157
55	271	2150
56	276	2147
57	282	2153
58	288	2153
59	293	2154
60	299	2155
61	304	2154
62	311	2159
63	316	2159
64	322	2158
65	328	2158
66	333	2156
67	339	2155
68	346	2161
69	352	2162
70	358	2164
71	365	2170
72	371	2171
73	378	2177
74	384	2176
75	390	2178
76	396	2176
77	401	2172
78	408	2174
79	413	2171
80	418	2166
81	424	2166
82	430	2163
83	435	2157
84	441	2153
85	446	2147
86	451	2141
87	456	2137
88	461	2131
89	466	2125
90	487	2190
91	492	2183
92	497	2175
93	503	2173
94	508	2167
95	513	2160
96	518	2152
97	523	2148
98	528	2142
99	533	2134
100	541	2140
101	547	2134
102	552	2129
103	559	2130
104	564	2123
105	570	2120
106	575	2113
107	580	2106
108	585	2101
109	591	2095
110	596	2089
111	602	2088
112	608	2083
113	613	2076
114	620	2076
115	625	2070
116	630	2063
117	636	2062
118	642	2055
119	647	2051
120	653	2045
121	658	2039
122	664	2035
123	669	2029
124	674	2022
125	679	2018
126	685	2013
127	691	2008
128	697	2006
129	703	2003
130	710	2000
131	716	1997
132	722	1992
133	728	1988
134	733	1983
135	738	1977
136	744	1973
137	750	1968
138	755	1962
139	761	1957
140	766	1952
141	772	1947
142	779	1944
143	785	1941
144	791	1937
145	797	1933
146	803	1928
147	810	1927
148	816	1922
149	822	1919
150	829	1916
151	835	1912
152	841	1907
153	847	1905
154	854	1902
155	860	1898
156	866	1894
157	873	1890
158	879	1886
159	885	1881
160	891	1877
161	898	1873
162	904	1870
163	910	1865
164	916	1861
165	924	1860
166	930	1856
167	937	1852
168	943	1847
169	948	1841
170	955	1837
171	960	1832
172	966	1827
173	973	1823
174	979	1818
175	985	1814
176	991	1809
177	997	1804
178	1004	1801
179	1011	1798
180	1018	1795
181	1025	1791
